name,venues,deceased,photo_url,bio,bio_source,gap_fill_added
Judah Friedlander,"nycc,the_stand,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/judah-friedlander-fd670c6e-thumb-image.jpg?1567785430,"Judah Friedlander was born on March 16, 1969 in Gaithersburg, Maryland, USA. He is an actor, known for 30 Rock (2006), The Wrestler (2008) and Star Wars: The Force Awakens (2015). I'm a comedian. I do",nycc,no
Ashton Womack,nycc,,https://newyorkcomedyclub.com/img/comedians/Ashton-790e080f-thumb-image.jpg?1639655042,"Ashton Womack is a standup comic from Houston, Tx, who currently lives in New York City as the newest staff writer for The Daily Show w/ Trevor Noah. In 2019 he was honored as a Just For Laughs New Fa",nycc,no
Kate Sisk,nycc,,https://newyorkcomedyclub.com/img/comedians/Screen-Shot-2023-02-01-at-1-56-12-PM-e9d30f48-main-image-521d1567-thumb-image.png?1696440086,"Kate Sisk is a professional stand up comedian, amateur drag king, and retired soccer player from Sudbury, Massachusetts. Now based in New York City, Kate has released stand up sets with Comedy Central",nycc,no
Chase DuRousseau,nycc,,https://newyorkcomedyclub.com/img/comedians/image0-12-8f8f0876-thumb-image.jpg?1770226228,"If you’re struggling with self-love and resilience Chase DuRousseau is here to show you that he is too, but doing it with sprezzatura so if he’s having fun with it… so will you. Originally from Housto",nycc,no
Luis J Gomez,nycc,,https://newyorkcomedyclub.com/img/comedians/LuisJ-headshot-1-e5e00b65-thumb-image.jpg?1747153063,"Luis J. Gomez is a comedian, writer, podcaster, and producer based out of New York City. He is most known for being one of the hosts of the popular podcast Legion of Skanks. His television appearances",nycc,no
Michael Kosta,"nycc,the_stand",,https://newyorkcomedyclub.com/img/imagetest/kosta-swing-small-png-36340ddd-kosta-swing-small-png.jpg?1693234204,"Michael is a Senior Correspondent on ""The Daily Show"". Previously, he hosted and was the co-executive producer on ""The Comment Section"" for the E! Network. He is well known from his numerous late nigh",nycc,no
Mark Normand,"nycc,the_stand",,https://newyorkcomedyclub.com/img/events/MarkNormand-copy-ed630bf6-thumb-image.jpg?1606775477,"Mark Normand is one of the most in-demand comedians working today. His self-produced Youtube special, ""Out to Lunch"" has over 11 million views! He also co-hosts two very popular podcasts, ""Tuesdays wi",nycc,no
Olivia Stadler,nycc,,https://newyorkcomedyclub.com/img/comedians/Olivia-Stadler-d1bb0b1e-thumb-image.jpg?1755785191,,none,no
Jared Harvin,nycc,,https://newyorkcomedyclub.com/img/comedians/Jared-Harvin-b5d90a28-thumb-image.jpg?1654831662,,none,no
Kristal Adams,nycc,,https://newyorkcomedyclub.com/img/comedians/KristalAdamsHeadshot-28630d9e-thumb-image.jpg?1722958219,"Kristal Adams is a standup comedian, producer and writer whose standup has been featured on Amazon, JFL Digital, Vidcon and SF Sketchfest. She was named Best of Fest at the 2019 Big Pine Comedy Festiv",nycc,no
Jacklynn Hyde,nycc,,https://newyorkcomedyclub.com/img/comedians/Jacklynn-Hyde-c3b30a99-thumb-image.jpg?1748442522,"Jacklynn Hyde is an award-winning drag queen, storyteller, and tax evader. This gin-soaked chanteuse is navigating through what can only be described as her final act. Lady Gaga would play her in the ",nycc,no
mike goldstein,nycc,,,,none,no
Tim Smith,nycc,,https://newyorkcomedyclub.com/img/comedians/451465828-1389344145079628-4139111214651379998-n-44bb0f96-thumb-image.jpg?1722472255,Tim Smith is a comedian based in NYC. A known goofball hailing from Louisiana/Chicago. Tim headlines clubs across the country and was recently featured at the New York Comedy Festival. He has opened f,nycc,no
Dan Goodman,nycc,,https://newyorkcomedyclub.com/img/comedians/Dan-Goodman-a8eb09b0-thumb-image.jpg?1718133793,,none,no
Derrick Stroup,nycc,,https://newyorkcomedyclub.com/img/comedians/Derrick-Stroup-Headshot-51ab0e90-thumb-image.jpg?1713361569,"Alabama native Derrick Stroup is not your average slow talking Southerner. With the cadence of an angry auctioneer, he engages his audiences with his detailed stories, over the top energy and southern",nycc,no
Chaunte Wayans,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/chaunte-wayans-caa70b1d-thumb-image.jpg?1566841827,"Chaunte Wayans is a comedian, writer, and actress who proudly represents the new generation of Wayans’ legacy-making its mark in Hollywood. She was last seen in the film 50 Shades of Black, with other",nycc,no
Alex Gardes,nycc,,https://newyorkcomedyclub.com/img/comedians/143B0289-copy-ac230950-thumb-image.jpg?1704395558,Alex Gardes performs in and has produced shows all over New York city. He currently produces Happy Time Apocalypse at New York Comedy Club Gramercy. Alex relies on his improv training and disarming jo,nycc,no
Matt Lopes,nycc,,https://newyorkcomedyclub.com/img/imagetest/img-9611-jpeg-b40b099f-img-9611-jpeg.jpg?1712153052,,none,no
Michael Longfellow,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/longfellow-9d3709b2-thumb-image.jpg?1685737142,"Michael Longfellow is a comedian and stepson from Phoenix who completed three seasons as a cast member on SATURDAY NIGHT LIVE. Prior to SNL, Michael was just one of eight comedians chosen for the inau",nycc,no
Amos Gill,"nycc,the_stand,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/amos-gill-2-aa10098f-thumb-image.png?1747062582,"Amos Gill is one of Australia’s hottest comedians, now making waves internationally as a touring headliner across the USA, UK, and Australia. Known for his sharp humor and quick wit, Amos first gained",nycc,no
Elle Orlando,"nycc,the_stand,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/IMG-7859-7e810799-thumb-image.jpg?1675195137,"Elle is a Chicago native, but started her comedy career in NYC. She is passed at New York Comedy Club, The Stand, BKLYN Comedy club, The Tiny Cupboard, and Broadway Comedy Club, but can be seen perfor",nycc,no
James Mwaura,nycc,,,,none,no
Big Jay Oakerson,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/BigJ-64c6071b-thumb-image.jpg?1675887114,Big Jay Oakerson is one of the most beloved and easily recognizable comedians in New York City. His easy charm and dirty delivery endear him to audiences every night. Jay’s comedy career spans two dec,nycc,no
Raj Suresh,nycc,,https://newyorkcomedyclub.com/img/imagetest/img-4858-jpg-aa030957-img-4858-jpg.jpg?1683220151,"A comedian since 2013, Raj Suresh tells jokes about cats, being Indian, race, politics and more and has performed in most of the United States and overseas, too. His debut album aired on SiriusXM and ",nycc,no
Alonzo Hamburger Jones,nycc,,https://newyorkcomedyclub.com/img/comedians/Comedy-Hamburger-Jones-3df50deb-thumb-image.jpg?1745261421,,none,no
Paula J. Leon,nycc,,https://newyorkcomedyclub.com/img/comedians/Headshot-2025-3-c52c09f9-thumb-image.jpg?1770673308,"Paula J. Leon is a first generation Peruvian-Canadian NY based Comedian, Actor and Award Winning Filmmaker. She was a selected Participant at the PIT SOLOCOM Fest in 2021 and performs all over the cit",nycc,no
Mike Cannon,nycc,,https://newyorkcomedyclub.com/img/imagetest/mike-cannon-5-17-25-headshot-color-jpg-427512c9-mike-cannon-5-17-25-headshot-color-jpg.jpg?1749049648,"Mike Cannon is a New York City-based comedian, podcaster, writer, and actor. He has headlined at some of the world’s most iconic venues – including a sold-out performance at Gramercy Theatre in his ho",nycc,no
Gray West,"nycc,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/IMG-5705-7da30784-thumb-image.jpg?1759241617,Gray West is a high-energy comedian known for his sharp wit and infectious positivity. He got his start at the legendary DC Improv and is now a regular at top clubs like New York Comedy Club and many ,nycc,no
Jay Jurden,"nycc,the_stand,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/Jay-Jurden-2023-Headshot-4aa10dc1-thumb-image.jpg?1692716390,"Jay Jurden is a New York-based comedian, writer, and actor. Originally from Mississippi, Jay regularly performs comedy all over the country, and is currently a Staff Writer for Apple TV+'s Emmy-nomina",nycc,no
Aaron Putnam,nycc,,https://newyorkcomedyclub.com/img/imagetest/a5337405-e1e9-41e9-b461-771ebf53b1eb-jpeg-1b9910cd-a5337405-e1e9-41e9-b461-771ebf53b1eb-jpeg.jpg?1649543893,"Aaron Putnam is an American touring stand up comedian , currently based out of Chicago. You can catch him at his home club. Laugh Factory , as well as many other comedy clubs like Zanies. He is also t",nycc,no
Corey B,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/Corey-B-Headshot-e34e0b7f-thumb-image.png?1700508963,"Corey Bonalewicz, aka COREY B, is an American radio personality, comedian, and content creator based in New York. Corey B has been working in Radio for over ten years. He got his start in New Orleans ",nycc,no
