name,nycc_url,stand_url
A Twink and A Redhead,https://newyorkcomedyclub.com/comedians/a-twink-and-a-redhead,https://thestandnyc.com/comedians/a-twink-and-a-redhead
Adam Freesman,https://newyorkcomedyclub.com/comedians/adam-freesman,https://thestandnyc.com/comedians/adam-freesman
Alaina Bamfield,https://newyorkcomedyclub.com/comedians/alaina-bamfield,https://thestandnyc.com/comedians/alaina-bamfield
Alan Moreau,https://newyorkcomedyclub.com/comedians/alan-moreau,https://thestandnyc.com/comedians/alan-moreau
Alexis Carabaño,https://newyorkcomedyclub.com/comedians/alexis-carabao,https://thestandnyc.com/comedians/alexis-carabao
Alexis Ramirez,https://newyorkcomedyclub.com/comedians/alexis-ramirez,https://thestandnyc.com/comedians/alexis-ramirez
Ally Taylor,https://newyorkcomedyclub.com/comedians/ally-taylor,https://thestandnyc.com/comedians/ally-taylor
Alyssa Edwards,https://newyorkcomedyclub.com/comedians/alyssa-edwards,https://thestandnyc.com/comedians/alyssa-edwards
Amanda Gordon,https://newyorkcomedyclub.com/comedians/amanda-gordon,https://thestandnyc.com/comedians/amanda-gordon
Amy Cheong,https://newyorkcomedyclub.com/comedians/amy-cheong,https://thestandnyc.com/comedians/amy-cheong
Angelo Colina,https://newyorkcomedyclub.com/comedians/angelo-colina,https://thestandnyc.com/comedians/angelo-colina
Angie Stroud,https://newyorkcomedyclub.com/comedians/angie-stroud,https://thestandnyc.com/comedians/angie-stroud
Annam Choudhry,https://newyorkcomedyclub.com/comedians/annam-choudhry,https://thestandnyc.com/comedians/annam-choudhry
Apollo Comedy Club,https://newyorkcomedyclub.com/comedians/apollo-comedy-club,https://thestandnyc.com/comedians/apollo-comedy-club
Ariel Evans,https://newyorkcomedyclub.com/comedians/ariel-evans,https://thestandnyc.com/comedians/ariel-evans
Ashley King,https://newyorkcomedyclub.com/comedians/ashley-king,https://thestandnyc.com/comedians/ashley-king
Ashley Singleton,https://newyorkcomedyclub.com/comedians/ashley-singleton,https://thestandnyc.com/comedians/ashley-singleton
Ashlynn Salzano,https://newyorkcomedyclub.com/comedians/ashlynn-salzano,https://thestandnyc.com/comedians/ashlynn-salzano
Austin Nasso,https://newyorkcomedyclub.com/comedians/austin-nasso,https://thestandnyc.com/comedians/austin-nasso
Becky Z.,https://newyorkcomedyclub.com/comedians/becky-z,https://thestandnyc.com/comedians/becky-z
Ben Bankas,https://newyorkcomedyclub.com/comedians/ben-bankas,https://thestandnyc.com/comedians/ben-bankas
Billy Hockman,https://newyorkcomedyclub.com/comedians/billy-hockman,https://thestandnyc.com/comedians/billy-hockman
Bradley Marco,https://newyorkcomedyclub.com/comedians/bradley-marco,https://thestandnyc.com/comedians/bradley-marco
Bridget Foley,https://newyorkcomedyclub.com/comedians/bridget-foley,https://thestandnyc.com/comedians/bridget-foley
Caitlin Austin,https://newyorkcomedyclub.com/comedians/caitlin-austin,https://thestandnyc.com/comedians/caitlin-austin
Calvin Cato,https://newyorkcomedyclub.com/comedians/calvin-cato,https://thestandnyc.com/comedians/calvin-cato
Cameron Leedy,https://newyorkcomedyclub.com/comedians/cameron-leedy,https://thestandnyc.com/comedians/cameron-leedy
Cassie Wilson,https://newyorkcomedyclub.com/comedians/cassie-wilson,https://thestandnyc.com/comedians/cassie-wilson
Ceara O'Sullivan,https://newyorkcomedyclub.com/comedians/ceara-osullivan,https://thestandnyc.com/comedians/ceara-osullivan
Chloe La Branche,https://newyorkcomedyclub.com/comedians/chloe-la-branche,https://thestandnyc.com/comedians/chloe-la-branche
Chris Aileo,https://newyorkcomedyclub.com/comedians/chris-aileo,https://thestandnyc.com/comedians/chris-aileo
Christy Love,https://newyorkcomedyclub.com/comedians/christy-love,https://thestandnyc.com/comedians/christy-love
Cianna Violet,https://newyorkcomedyclub.com/comedians/cianna-violet,https://thestandnyc.com/comedians/cianna-violet
Cody Marino,https://newyorkcomedyclub.com/comedians/cody-marino,https://thestandnyc.com/comedians/cody-marino
Colleen Genevieve,https://newyorkcomedyclub.com/comedians/colleen-genevieve,https://thestandnyc.com/comedians/colleen-genevieve
Comedy Bang! Bang! Live!,https://newyorkcomedyclub.com/comedians/comedy-bang-bang-live,https://thestandnyc.com/comedians/comedy-bang-bang-live
Damien Speranza,https://newyorkcomedyclub.com/comedians/damien-speranza,https://thestandnyc.com/comedians/damien-speranza
Dan Fox,https://newyorkcomedyclub.com/comedians/dan-fox,https://thestandnyc.com/comedians/dan-fox
Dan Yang,https://newyorkcomedyclub.com/comedians/dan-yang,https://thestandnyc.com/comedians/dan-yang
Daniel Bridge-Gadd,https://newyorkcomedyclub.com/comedians/daniel-bridge-gadd,https://thestandnyc.com/comedians/daniel-bridge-gadd
Darlene Bereznicki,https://newyorkcomedyclub.com/comedians/darlene-bereznicki,https://thestandnyc.com/comedians/darlene-bereznicki
Dayton Bissett,https://newyorkcomedyclub.com/comedians/dayton-bissett,https://thestandnyc.com/comedians/dayton-bissett
Del Almo Manny,https://newyorkcomedyclub.com/comedians/del-almo-manny,https://thestandnyc.com/comedians/del-almo-manny
